  1,20 DE NOVIEMBRE
  2,ACAPULCO
  3,ALAMEDA
  4,CAHUARO
  5,CHAPALA
  6,CUTZEO
  7,DEL COCO
  8,DEL LIBRAMIENTO
  9,DOLORES
  10,EL CHAMIZAL
  11,EL PARAÍSO
  12,EL TERRERO
  13,EL TOREO
  14,GARITA DE TOMATLÁN
  15,GRANJAS DE CAHUARO
  16,GUADALUPE
  17,CENTRO
  18,INDEPENDENCIA(BARRIO ALTO)
  19,ISSSTE
  20,LA ESCONDIDA
  21,LA MICHOACANA
  22,LA NOPALERA
  23,LAS COLONIAS
  24,LOMA DE LA SANTA CRUZ
  25,LOMA DE LAS ROSAS
  26,LOMA LINDA
  27,LOS ALMENDROS
  28,LOS SAUCES
  29,PIRINDA
  30,PITO REAL
  31,REGIONAL
  32,SAN ANTONIO TOMATLAN
  33,SAN ANTONIO URAPA
  34,UNIDAD DEPORTIVA
  35,ZARAGOZA
  36,BENITO JUAREZ
